INDIE POP ARTSITS:
The Dø
Dr. Dog
The Driver Era
The Dodos
Dog Is Dead
Dogs Die in Hot Cars
Doleful Lions
Dolly Mixture
Dolour
Dom
Siobhán Donaghy
Dotan
Dressy Bessy
The Drums
Dum Dum Girls
Dutch Uncles
Lola Dutronic
E
East River Pipe
Echo Orbiter
Echosmith
Eden
Billie Eilish
Eisley
Mikky Ekko
Electrelane
Electric Guest
Electric President
Elf Power
Elizabeth & the Catapult
Ellington
Empire of the Sun
The Essex Green
Esthero
Ethel Cain
Even As We Speak
Ewert and The Two Dragons
Eyedress
F
Fanfarlo
The Farmer's Boys
Farrah
Chris Farren
Fat Tulips
Father John Misty
Fazerdaze
Feist
Felt
Fizz
Sam Fender
Sky Ferreira
The Field Mice
Figurine
Dominic Fike
Final Fantasy
A Fine Frenzy
Liam Finn
Fire Through the Window
Fire Zuave
Fishboy
Fitz and the Tantrums
FKA twigs
The Flatmates
Flor
Flora Cash
Florence and the Machine
The Format
The Formative Years
Foster the People
Fountains of Wayne
Dia Frampton
Max Frost
Fred
Free Energy
Freezepop
Friends
Ruby Frost
Frou Frou
Fun
Misia Furtak
G
Galileo Galilei
Gang of Youths
Garden City Movement
Chris Garneau
Orla Gartland
Generationals
Gentleman Reg
Gentlemen Hall
The Gentle Waves
Geographer
Hannah Georgas
The Gerbils
Girl in Red
Girls
Girlyboi
Giselle Bellas
Givers
Glass Animals
The Gloria Record
The Go-Betweens
Go Sailor
Gold Motel
The Good Life
Good Shoes
Gotye
Conan Gray
Great Aunt Ida
A Great Big World
Great Lake Swimmers
Great Lakes
The Grenadiers
Grimes
Grizzly Bear
Grouplove
El Guincho
Gym Class Heroes
Gypsy and the Cat
H
HAIM
Emily Haines
Luke Haines
Half Alive
Half-Handed Cloud
Half Man Half Biscuit
Halsey
Hanson
The Happy Bullets
Have a Nice Life
Maya Hawke
Hayden
He Is We
Headlights
Imogen Heap
Heavenly
Helicopter Girl
The Helio Sequence
Hello Saferide
Hellogoodbye
Håkan Hellström
Her's
Hey Ocean!
Haley Heynderickx
Hidden Cameras
Hidrogenesse
Missy Higgins
The High Water Marks
Marian Hill
Nanna Bryndís Hilmarsdóttir
Hippo Campus
Hoax
Holiday Flyer
The Honey Buzzards
An Horse
The House of Love
The Housemartins
Holly Humberstone
Hungry Kids of Hungary
Hurray for the Riff Raff
The Hush Sound
Dev Hynes
I
I Dont Know How But They Found Me
Il Genio
I'm from Barcelona
Immaculate Machine
Imperial Teen
Inhaler
Island of Love
Islands
It's Immaterial
Ivan & Alyosha
Ivy
J
Julia Jacklin
Georgie James
Jarryd James
Japancakes
Japanese Breakfast
The Japanese House
JAWS
The Jesus and Mary Chain
Jets Overhead
Jets to Brazil
Jinja Safari
Joan of Arc
Jocelyn & Lisa
Johnny Boy
Joy Division
Vance Joy
The June Brides
The Jungle Giants
K
Kakkmaddafakka
Kali Uchis
Karkwa
Georgi Kay
Kay Kay and His Weathered Underground
Kerli
Kero Kero Bonito
Khalid
Kiiara
Kid Canaveral
Kimbra
Kina
Elle King
King Princess
Kings of Convenience
Sarah Kinsley
Kitten
Hayley Kiyoko
Komeda
The Kooks
Mela Koteluk
Koufax
Ben Kweller
L
Kyla La Grange
Ladybug Transistor
Ladyhawke
Ladytron
Lana Del Rey
LANY
The La's
Last Dinosaurs
The Last Dinner Party
The Last Shadow Puppets
The Layaways
Left at London
Jens Lekman
Jade LeMac
Lenka
Adrianne Lenker
Don Lennon
Sondre Lerche
Let's Go Sailing
Lykke Li
Library Voices
Lights
Lightspeed Champion
The Like
The Limousines
Maggie Lindemann
Liquid Blue
The Little Ones
LP
Local Natives
The Lodger
The Loft
Lois
Loney Dear
The Long Winters
Look Blue Go Purple
Look See Proof
Mary Lou Lord
Lorde
The Lotus Eaters
Emma Louise
Love Is All
Lovelytheband
The Love Language
The Lovely Feathers
The Lovely Sparrows
LoveLikeFire
The Lucksmiths
Lucky Soul
The Lumineers
Lush
Luzer
Lydia
Lovejoy
M
M83
Mae
Magdalena Bay
MagellanMusic
Magneta Lane
The Magnetic Fields
The Main Drag
Majical Cloudz
Malajube
Maow
Marbles
April March
The Margarets
Ida Maria
Marina and the Diamonds
Marine Girls
Marine Research
Helen Marnie
Briston Maroney
Johnny Marr
Mars Argo
Erin Martin
Melanie Martinez
Billie Marten
James Marriott
Mates of State
Math and Physics Club
Matt and Kim
Mazzy Star
Lizzy McAlpine
McCarthy
Nellie McKay
Declan McKenna
Mean Red Spiders
MeeK
Meg and Dia
Mega Gem
Meiko
Rose Melberg
Memphis
Men I Trust
James Mercer
Metric
Metronomy
MGMT
Julia Michaels
Ingrid Michaelson
Malcolm Middleton
Mighty Mighty
Amy Millan
Tor Miller
Minipop
Miniature Tigers
Mirah
MisterWives
Lisa Mitchell
Mitski
MØ
Modest Mouse
Victoria Monét
Monkey Swallows the Universe
The Monochrome Set
The Mood
Kailee Morgue
Chloe Moriondo
Morrissey
Moscow Olympics
The Most Serene Republic
Mother Mother
The Motorcycle Boy
The Mowgli's
MS MR
MUNA
Stuart Murdoch
Mxmtoon
my little airport
My Teenage Stride
Myracle Brah
N
Nada Surf
The Naked and Famous
Kate Nash
The National
The Neighbourhood
Neon Indian
Neon Trees
Neutral Milk Hotel
New Buffalo
The New Electric Sound
The New Pornographers
New Young Pony Club
A.C. Newman
Nightmare of You
Noah and the Whale
Noemi
Jim Noir
The Notwist
Novillero
Now It's Overhead
O
Oberhofer
Conor Oberst
The Ocean Blue
Tom Odell
of Montreal
Of Monsters and Men
Oh Honey
Oh Land
Oh Wonder
Olivia Rodrigo
Ohbijou
Okay Kaya
The Olivia Tremor Control
Angel Olsen
One Night Only
Oppenheimer
Orange Juice
The Orchids
The Organ
Oh Wonder
Owl City
P
The Pains of Being Pure at Heart
Pale Saints
Pale Waves
Owen Pallett
Paris Paloma
Papas Fritas
Papercuts
Paperplane Pursuit
Paper Route
PAS/CAL
Passenger
Passion Pit
The Pastels
Pavement
Peachcake
Peach Pit
Pedro The Lion
Perfume Genius
Pernice Brothers
Peter Bjorn and John
Kim Petras
Phoenix
Phox
The Pillbugs
PinkPantheress
The Pipettes
Los Planetas
Playradioplay!
Dawid Podsiadło
Pogo
Caroline Polachek
Emma Pollock
Polnalyubvi
Pomplamoose
Pony Club
Pony Up!
The Pooh Sticks
The Popguns
The Postal Service
The Postmarks
Primal Scream
The Primary 5
The Primitives
The Promise Ring
Puffy AmiYumi
Purity Ring
PVRIS
R
Ra Ra Riot
RadaR Rock Band
The Radio Dept.
The Rain
Razorcuts
The Regrettes
The Remains of Brian Borcherdt
Res
Reverie Sound Revue
Rex Orange County
Bebe Rexha
Damien Rice
Rilo Kiley
Roadside Poppies
Sizzy Rocket
Rocketship
The Rocketboys
Maggie Rogers
Rogue Wave
Caroline Rose
Katy Rose
The Rosebuds
Leith Ross
Emmy Rossum
The Ruby Suns
Nate Ruess
The Russian Futurists
Phoebe Ryan
Roar
S
Sad Day for Puppets
Samia
St. Christopher
Saint Etienne
St. Lucia
Saint Motel
Saint Raymond
St. Vincent
SALES
Sambassadeur
San Cisco
Sandy
Santigold
Sarah P.
Satellite Stories
Saturday Looks Good to Me
Alexandra Savior
Bryan Scary
The Scene Aesthetic
The School
Scouting for Girls
Seapony
Seabear
Sea Girls
The Sea Urchins
The Servants
Seventeen Evergreen
Sex Clark Five
Amy Shark
She & Him
Sheppard
Shonen Knife
Shop Assistants
Shout Out Louds
The Shins
Shy Boys
The Siddeleys
The Silly Pillows
Sing Sing
Yo Yo Honey Singh
Sissy Bar
Troye Sivan
Sleepy Township
Slow Pulp
Small Factory
Smallpools
Dan Smith
Elliott Smith
The Smiths
Smoosh
Smudge
Snail Mail
The Sneetches
Miike Snow
Soccer Mommy
Social Repose
Sodagreen
The Softies
SoKo
Someone Still Loves You Boris Yeltsin
Juan Son
The Sounds
The Soup Dragons
South San Gabriel
Spectacle
Regina Spektor
Starflyer 59
Starlight Mints
Ryan Tedder
Stars
Statistics
Stepdad
Stereolab
Sufjan Stevens
Still Corners
Still Life Still
The Stills
Angus and Julia Stone
STRFKR
The Submarines
Suburban Kids With Biblical Names
Suki Waterhouse
Summer Hymns
Sun Kil Moon
The Sundays
Supercute!
Sweet Trip
Swim Deep
Swimclub
Sylvan Esso
T
Tahiti 80
Tally Hall
Talulah Gosh
Tame Impala
The Tartans
Maria Taylor
Team Me
Teenage Fanclub
Tegan and Sara
Tei Shi
Teleman
Television Personalities
Alfie Templeman
Chloe Temtchine
Tender Trap
Tennis
Terror Jr
This Is Ivy League
This Providence
Thomas Tantrum
The Marías
Charlie Thorpe
Those Dancing Days
Thriving Ivory
Throw Me the Statue
Tiga
Tiger Trap
Tilly and the Wall
Tim & Jean
Times New Viking
Tinashe
The Ting Tings
Tinted Windows
Tiny Dancers
Tokyo Police Club
Toro Y Moi
Emilíana Torrini
Tove Lo
The Trash Can Sinatras
Travis
Trembling Blue Stars
Trixie's Big Red Motorbike
The Trolleyvox
Tullycraft
TV Girl
Twenty One Pilots
Twin Shadow
Two Door Cinema Club
Two Spot Gobi
U
Ugly Casanova
The Unicorns
Unknown Mortal Orchestra
Urban Cone
V
Vampire Weekend
Sharon Van Etten
Andrew VanWyngarden
The Vaselines
Valley
Velocity Girl
Velvet Crush
Veronica Falls
Via Audio
Viola Beach
Tessa Violet
La Vida Bohème
Vinyl Theatre
The Virgins
Vivian Girls
Voxtrot
Vacations
W
Rufus Wainwright
Will Wood
Walk the Moon
Tom Walker
Chris Walla
Wallows
Jessie Ware
Washed Out
Wavves
Waxahatchee
Gerard Way
We Are Scientists
We Were Promised Jetpacks
A Weather
The Weather Prophets
Ryn Weaver
The Webb Brothers
Faye Webster
The Wedding Present
The Weeknd
The Weepies
John-Allison Weiss
Florence Welch
Weyes Blood
What Made Milwaukee Famous
Brooke White
White Rabbits
The Whitest Boy Alive
The Whitlams
Wild Child
Wild Nothing
Wildlife Control
Wolf Alice
Remi Wolf
The Wombats
World Domination Enterprises
Would-Be-Goods
Bill Wurtz
X
The xx
Y
Yeasayer
Yeah Yeah Yeahs
Yo La Tengo
Yours Are the Only Ears
You Say Party
Young and Sexy
Young Galaxy
Young the Giant
Youngblood Hawke
Yuna
Yungblud
Z
Zero 7

DREAM POP ARTISTS:

A–M
Air
All About Eve
Alvvays
A.R. Kane
Atlas Sound
Au Revoir Simone
The Autumns
Azure Ray
Basement Revolver
Bat for Lashes
Beach Fossils
Beach House
Bell Hollow
Belly
Blonde Redhead
The Boo Radleys
Braids
Broadcast
Candidate
Candy Claws
Catherine Wheel
Chapterhouse
Chromatics
Cigarettes After Sex
Cocteau Twins
Cranes
Julee Cruise
Cults
Curve
The Depreciation Guild
Devics
DIIV
Echo Lake
Elysian Fields
Engineers
Eskobar
Ethel Cain
Fear of Men
Field Mouse
For Against
For Tracy Hyde
Galaxie 500
Kenneth James Gibson
Girl in Red
Grimes
Hatchie
Her's
High Highs
The High Violets
The Hundred in the Hands
I Break Horses
The Innocence Mission
It Hugs Back
Japanese Breakfast
Jay Som
Jadu
jj
The Joy Formidable
Kitchens of Distinction
Lab Partners
Landing
Lana Del Rey
Letting Up Despite Great Faults
Lykke Li
Little Dragon
London Grammar
Lorde
Lovesliescrushing
Lower Dens
Lush
M83
Magic Wands
Mahogany
Mazzy Star
Medicine
Men I Trust
Mira
Mr Twin Sister
My Bloody Valentine
N–Z
The Nightblooms
The Ocean Blue
The One AM Radio
Pale Saints
Palm Ghosts
Papercuts
Parannoul
Parekh & Singh
Parker and Lily
Plastic Flowers
Porcelain Raft
Purity Ring
The Raveonettes
Ride
Sarah P.
Alexandra Savior
Say Lou Lou
School of Seven Bells
Secret Shine
Seely
Sigur Rós
Troye Sivan
Slowdive
Snakadaktal
Snow & Voices
Soundpool
Spirea X
Spotlight Kid
SRSQ
Still Corners
Stripmall Architecture
Sugar Plant
The Sundays
Sweet Trip
Tanukichan
The Telescopes
Them Are Us Too
This Mortal Coil
Trance to the Sun
Turnover
Vansire
Venus Hum
Vision Eternel
Vivian Girls
Warpaint
Washed Out
Wet
White Violet
Wild Nothing
The xx
Your Friend
The Zephyrs

DANCE POP ARTISTS:

1 Girl Nation
13 Stories
2 Unlimited
3OH!3
A
Aaliyah
Paula Abdul
Ace of Base
Christina Aguilera
Alcazar
AlunaGeorge
A-L-X
Ambitious Lovers
Anastacia
Annie
Aqua
David Archuleta
Tina Arena
Army of Lovers
Rick Astley
Atomic Kitten
The Attic
Audio Playground
Aurora
Avicii
Axé Bahia
B
B*Witched
Backstreet Boys
Bad Boys Blue
Zoë Badwi
Bananarama
Banghra
Azealia Banks
Bardeux
Basement Jaxx
Bastille
Daniel Bedingfield
The Beloved
Betty Who
The Beu Sisters
Beyoncé
Justin Bieber
The Black Eyed Peas
Black Kids
Blood Orange
Bloodshy & Avant
The Boomtang Boys
La Bouche
David Bowie
Brazilian Girls
Bronski Beat
Chris Brown
Havana Brown
Emma Bunton
C
C+C Music Factory
Can-linn
Mariah Carey
Caribou
Dina Carroll
Aaron Carter
Cascada
Cause and Effect
Charli XCX
Cher
Neneh Cherry
Choi Ye-na
China Doll
Ciara
Classixx
Clean Bandit
Cobra Starship
Kimberly Cole
The Communards
Company B
Ida Corr
The Cover Girls
Taio Cruz
Cut Copy
D
Da Pump
Taylor Dayne
DB Boulevard
Dead Disco
Dead or Alive
Dee Dee
Deee-Lite
Delorean
Kat DeLuna
Destiny's Child
Deuce
Dev
DHT
Celine Dion
Disclosure
DJ BoBo
DJ Encore
Dubstar
Hilary Duff
E
Stacy Earl
East 17
Eiffel 65
Sophie Ellis-Bextor
Empire of the Sun
Jocelyn Enriquez
Gloria Estefan
Everything Everything
Exposé
F
Sky Ferreira
Fifth Harmony
Five
Flo Rida
Foster the People
Samantha Fox
Frankie Goes to Hollywood
Fun Factory
G
Debbie Gibson
Girls Aloud
globe
The Go! Team
Selena Gomez
Wynter Gordon
Gorillaz
Ellie Goulding
Ariana Grande
David Guetta
H
Calvin Harris
Her Majesty & the Wolves
Paris Hilton
Hurts
I
Innosense
J
La Toya Jackson
Janet Jackson
Michael Jackson
Samantha James
Jewel
Joée
Joy
Jump5
Junior Senior
Juvelen
K
Kesha
Mary Kiani
Natalia Kills
Kim Hyun-jung
King África
Kisses
The KLF
Solange Knowles
L
Lady Gaga
Laila
George Lamond
Jessy Lanza
LCD Soundsystem
Dua Lipa
Lisa Lisa and Cult Jam
LMFAO
Locomía
Jennifer Lopez
Louie Louie
Luciana
M
M People
Madonna
Maroon 5
Lisa Matassa (as Lysa Lynn)
Matt and Kim
Ava Max
Mel and Kim
Javiera Mena
M.I.A.
Miami Sound Machine
George Michael
MiChi
Mika
Milli Vanilli
Nicki Minaj
Dannii Minogue
Kylie Minogue
Modern Talking
Moloko
Momoiro Clover Z
Alanis Morissette
m.o.v.e
Movetron
Samantha Mumba
James Murphy
Róisín Murphy
N
N-Trance
Nabiha
The Neptunes
New Kids on the Block
Olivia Newton-John
Ne-Yo
Nikkole
NRG
NSYNC
O
OFF
Rita Ora
Emily Osment
The Osmonds
Donny Osmond
P
Kevin Paige
Paradiso Girls
Sarina Paris
Pebbles
Katy Perry
Paul Pesco
Pet Shop Boys
Pink
Pizzicato Five
Play
Pnau
Gabry Ponte
Prima J
Prince
Private
The Pussycat Dolls
Q
Cara Quici
R
Raze
Richard X
Ricki-Lee
Right Said Fred
Rihanna
Robyn
Rockell
Bebe Rexha
Kelly Rowland
Kelly Clarkson
S
S Club 7
Noah Kahan
Marta Sánchez
Santigold
The Saturdays
Seiko Matsuda
Selena Gomez & the Scene
Selena Gomez
September
Shakira
Shinee
Shura
Sia
Jessica Simpson
Troye Sivan
Sam Smith
Solid HarmoniE
Tommy Sparks
Britney Spears
Speed
Spice Girls
Stacey Q
Stakka Bo
Alexandra Stan
Lisa Stansfield
Brenda K. Starr
Gwen Stefani
Steps
Stevie B
Stock Aitken Waterman
Sugababes
Linda Sundblad
Swedish House Mafia
Taylor Swift
Sylvan Esso[
T
T-ara
T-Spoon
Take That
Tarkan
t.A.T.u.
Tegan and Sara
Therese
Tiësto
Tiffany
Timbaland
Justin Timberlake
The Ting Tings
Katy Tiz
Melissa Tkautz
TLC
Judy Torres
Totally Enormous Extinct Dinosaurs
Jolin Tsai
U
Usher
V
Vassy
Vengaboys
V*Enna
The Very Best
Vitamin C
W
Waii
Wallpaper
Jessie Ware
Pete Waterman
Jody Watley
Wham!
Karyn White
Wild Orchid
Will to Power
Vanessa L. Williams
Kimberly Wyatt
X
XLR8
Xuxa
Y
Yazz
Yelle
Yuri
Z
Zedd
ZOEgirl

PSYCH POP ARISTS:
The Avant-Garde
The Beach Boys
The Beatles
Bee Gees ('60s work)
Chamaeleon Church
Donovan
Edwards Hand
The Electric Prunes
The End
Tommy James
Kaleidoscope
Marmalade
The Neon Philharmonic
Geoff Nicholls
The Nova Local
Orange Bicycle
Paul Revere & the Raiders
Pink Floyd
Plastic Penny
The Rainy Daze
Rotary Connection
Sagittarius
The Savage Rose
The Spike Drivers
Skip Bifferty
Strawberry Alarm Clock
Traffic (early work)
The Turtles
Underground Sunshine
World of Oz
Zager and Evans
Later years
Animal Collective
Baby Lemonade
The Barracudas
The Dream Syndicate
Gorky's Zygotic Mynci
The Growlers
Guards
The Happy Bullets
Jellyfish
The Junipers
Lush
Mazie
Mercury Rev
Connan Mockasin
Pond
Prince Rama
Quilt
Rain Parade
The Rollo Treadway
Shrubbies
Simian
Tim Smith
Sticky Fingers
Super Furry Animals
Tame Impala
Temples
The Three O'Clock
True West
Vows
Yura Yura Teikoku
