ALT ROCK ARTISTS:
The La's
Lacuna Coil
LANY
L'Arc-en-Ciel
The Lemonheads
Less Than Jake
Letters to Cleo
Lifehouse
Limblifter
Linkin Park
Lit
Live
Liz Phair
Local H
Lord Huron
Love Battery
Lovedrug
Lower Than Atlantis
Lucero
Ludo
Luscious Jackson
M
Mad Season
Madrugada
mae
The Maine
Major Moment
Mallory Knox
Manchester Orchestra
Mando Diao
Måneskin
Manic Street Preachers
Mansun
Marcy Playground
Marlene Kuntz
Marvelous 3
Mary's Danish
Matchbox Twenty
The Matches
Material Issue
Matthew Good
Matthew Sweet
Maxïmo Park
Mayday
The Mayfield Four
Mazzy Star
The Mekons
Melvins
Mercury Rev
Metric
mewithoutYou
Middle Class Rut
Millencolin
Mobile
Moby
Modest Mouse
Moist
Moke
Monoral
Morningwood
Morphine
Morrissey
Mor ve Ötesi
Moses Mayfield
Moth
Mother Love Bone
Mother Mother
Motion City Soundtrack
Mudhoney
Mumford & Sons
Muse
MUTEMATH
My Chemical Romance
Myles Kennedy
N
Nada Surf
The Naked and Famous
Natalie Merchant
The National
Ned's Atomic Dustbin
NEEDTOBREATHE
The Neighbourhood
Neon Trees
Neutral Milk Hotel
Neverending White Lights
NewDad
New Empire
New Found Glory
New Model Army
New Order
New Politics
New Radicals
Nick Cave and the Bad Seeds
Nickel Creek
Nickelback
Nico Vega
Nine Black Alps
Nine Days
Nine Inch Nails
Nine Lashes
Nirvana
No Devotion
No Doubt
NOAH
Noel Gallagher's High Flying Birds
Nothing But Thieves
O
O.A.R.
Oasis
The Ocean Blue
Oceansize
The Offspring
Of Monsters and Men
Of Montreal
OK Go
Oleander
One OK Rock
OneRepublic
Orgy
Ostava
Our Lady Peace
Ozma
P
P.O.D.
Palaye Royale
Pale Saints
Palm Ghosts
Panic! at the Disco
Papa Roach
Parabelle
Paramore
Passion Pit
Paul Westerberg
Paul Weller
Pavement
Pearl Jam
Pete Yorn
Phantom Planet
Phoenix
Phoxjaw
Pierce the Veil
The Pillows
Pixies
PJ Harvey
Placebo
Plain White T's
Pluto
Poets of the Fall
Poor Old Lu
Pop Will Eat Itself
Porcupine Tree
Porno for Pyros
Portishead
Portugal. The Man
The Posies
Possum Dixon
The Postal Service
Poster Children
Powerman 5000
The Presidents of the United States of America
The Pretenders
The Pretty Reckless
Primal Scream
Prime Circle
Prime STH
Primitive Radio Gods
The Primitives
Primus
The Prodigy
Project 86
The Psychedelic Furs
Psychedelic Porn Crumpets
Public Image Ltd.
Puddle of Mudd
Pulled Apart By Horses
Pulp
Punchline
Puressence
PVRIS
Pylon
Q
Queens of the Stone Age
Quietdrive
R
R.E.M.
Ra
Ra Ra Riot
The Raconteurs
Radiohead
Radwimps
Rage Against the Machine
The Railway Children
The Rasmus
The Raveonettes
RED
Red Hot Chili Peppers
The Red Jumpsuit Apparatus
Redd Kross
Reef
The Refreshments
Regina Spektor
Relient K
Remy Zero
The Rentals
Renegade Soundwave
The Replacements
Republica
Revis
Rhythm Corps
Rocket from the Crypt
The Rocket Summer
Royal Bliss
Royal Blood
The Rubens
S
SafetySuit
Said the Whale
Saint Asonia
Saliva
Sambomaster
Saosin
Saving Abel
Say Anything
School of Fish
The Score
Scott Stapp
Scott Weiland
Screaming Trees
The Script
Seaweed
Sebadoh
Seether
Semisonic
Seven Mary Three
Sevendust
The Shamen
Shawn Mullins
Shed Seven
Sheila on 7
Sherwood
Shihad
Shinedown
The Shins
Shiny Toy Guns
Shudder to Think
Sick Puppies
Silverchair
Silverstein
Silversun Pickups
Simple Minds
Simple Plan
Sinéad O'Connor
Siouxsie and the Banshees
Sister Hazel
Sixpence None the Richer
Skillet
Skindred
Skunk Anansie
Slaves On Dope
Sleater-Kinney
Sleeper Agent
Sleeping with Sirens
Sleigh Bells
Slint
Sloan
Slipknot
Slowdive
Smash Mouth
The Smashing Pumpkins
The Smithereens
The Smiths
Snail Mail
Snow Patrol
Soccer Mommy
Social Code
Something Corporate
Sonic Youth
Sons of Elvis
Sorry About Your Daughter
Sort Sol
Soul Asylum
Soul Coughing
Soundgarden
Spacehog
Spacemen 3
SPAN
Sparta
Spiderbait
Spin Doctors
Spirit of the West
Sponge
Spoon
Squeeze
St. Vincent
Stabbing Westward
Staind
Starflyer 59
Starsailor
Starset
State Radio
Stereolab
Stereophonics
Steve Burns
Steve Taylor
Steve Taylor & The Perfect Foil
Stir
The Stone Roses
Stone Sour
Stone Temple Pilots
Story Of The Year
The Stranglers
The Strokes
The Subways
Sucioperro
Suede
Sugar
Sugar Ray
The Sugarcubes
Sugarcult
Sullen
Sullivan
Sum 41
The Sundays
Sunny Day Real Estate
Sunrise Avenue
Super Furry Animals
Supercar
Superchunk
Superdrag
Supergrass
Superheaven
The Superjesus
Surrounded
Suzanne Vega
Sweet Water
Sweethead
Swervedriver
Switchfoot
System of a Down
T
Takida
Taking Back Sunday
Talk Show
Talk Talk
Tame Impala
Tantric
Taproot
The Tea Party
Team Sleep
Teenage Fanclub
Tegan and Sara
Temple of the Dog
Terrible Things
Texas
that dog.
The The
Them Crooked Vultures
Therapy?
There for Tomorrow
They Might Be Giants
Thin White Rope
Third Day
Third Eye Blind
Thirty Seconds to Mars
Thom Yorke
Thornhill
Thornley
Thousand Foot Krutch
Three Days Grace
Thrice
Throwing Muses
Thursday
Tiger Please
Toad the Wet Sprocket
Toadies
Tokio Hotel
Tokyo Police Club
Tomahawk
Tom Morello
Tom Waits
Tonic
Tonight Alive
Tool
Too Much Joy
Tori Amos
Tracy Bonham
The Tragically Hip
Train
Transmatic
Transvision Vamp
Trapt
Trashcan Sinatras
Travis
The Trews
Tripping Daisy
Troy Baker
TTNG
TV on the Radio
Tweaker
Twenty One Pilots
Twin Atlantic
Two Door Cinema Club
U
U2
Ubiquitous Synergy Seeker
Ultra Vivid Scene
Uncle Tupelo
Under the Influence of Giants
Underøath
Uniklubi
Unsane
Unwritten Law
UPSAHL
Urge Overkill
Us Amongst The Rest
The Used
V
The Vaccines
Vampire Weekend
The Vaselines
VAST
Velvet Revolver
Vendetta Red
Verdena
VERIDIA
VersaEmerge
Versus
Vertical Horizon
Veruca Salt
The Verve
The Verve Pipe
VHS or Beta
Vic Chestnutt
The Vines
Violent Femmes
Violent Soho
Virgos Merlot
The Voidz
Volcano Suns
The Von Bondies
Vonray
W
Wakey Wakey
Walk Off The Earth
Walk the Moon
The Wallflowers
Wallows
Walt Mink
The Wannadies
Warpaint
The Watchmen
Waterparks
Wavves
We Are Scientists
We Are The Ocean
We the Kings
The Weakerthans
Weathers
The Wedding Present
Ween
Weezer
Whale
Wheatus
White Lies
The White Stripes
White Town
Wilco
Wintersleep
Wolf Alice
Wolf Parade
The Wombats
The Wonder Stuff
The Working Title
X
X Ambassadors
The XCERTS
Y
Yeah Yeah Yeahs
Yellowcard
Yo La Tengo
You Am I
You Me at Six
Young Guns
Young the Giant
Yungblud
Z
Zoé
The Zolas
Zox
The Zutons
Zwan

INDIE ROCK ARTISTS:
0–9
The 1975
1990s
54-40
7th Order
764-HERO
The 88
Back to top

A
A Common Year
Aberdeen City
The Academy Is...
Action Action
Ryan Adams
Steve Adey
Adorable
The Afghan Whigs
The Ailerons
Air Miami
The Airborne Toxic Event
Airhead
Alabama Shakes
Alcian Blue
Alex G
The Alice Rose
¡All-Time Quarterback!
Aloha
Alterkicks
Alt-J
Alvvays
Always the Alibi
The Amazing
Amber Smith
Amber Run
Ambulance LTD
The American Analog Set
American Authors
American Standards
Ammonia
American Football
Anamanaguchi
Anathallo
Amsterdam
...And You Will Know Us by the Trail of Dead
Erika M. Anderson
Kyle Andrews
Animal Collective
Animal Kingdom
Anni B Sweet
The Anniversary
The Antlers
Apostle of Hustle
The Apples in Stereo
The Appleseed Cast
The Aquarium
Arab Strap
Arcade Fire
Archers of Loaf
Architecture in Helsinki
Arctic Monkeys
Arkells
Art Brut
As Cities Burn
Asian Kung-Fu Generation
Asobi Seksu
Athlete
Atlas Genius
Au Revoir Simone
Augie March
Augustana
Augustines
Austin TV
The Autumn Defense
The Avalanches
Avantgarde
The Avett Brothers
Avey Tare
Avi Buffalo
Awolnation
Back to top

B
Ba–Bm
Babybird
Babyshambles
Baby Strange
Bad Astronaut
Bad Books
Bad Suns
The Badgeman
Badly Drawn Boy
Bailter Space
Julien Baker
Balthazar
Band of Horses
Band of Skulls
Baptist Generals
Baryonyx
Bastille
Bat for Lashes
Battle
James Bay
David Bazan
Be Your Own Pet
Beabadoobee
Beach Fossils
Beach House
Beady Eye
The Beat
Beat Crusaders
Beat Happening
Beatnik Turtle
Beatsteaks
Beck
Bedhead
The Bees
Beirut
Bell X1
Bellini
Jon Bellion
Bello Spark
Belly
Brendan Benson
Best Coast
The Beta Band
Bethlehem Steel
Bettie Serveert
Between the Trees
Beulah
Beware of Darkness
The Bevis Frond
Biffy Clyro
Big Black
Big Flame
Big Japan
The Big Moon
The Big Pink
The Big Sleep
Andrew Bird
Jade Bird
Birdmonster
Bishop Allen
Bitch Magnet
Biting Elbows
The Black Angels
Black Box Recorder
Black Box Revelation
Black Camaro
The Black Heart Procession
Black Honey
The Black Keys
Black Kids
Black Lips
Black Rebel Motorcycle Club
Black Tie Dynasty
Blackmail
Bleached
Bleachers
Blind Pilot
Bloc Party
Blouse
Blonde Redhead
Blood Red Shoes
Blue October
The Bluetones
Blur
Back to top

Bn–Bz
Bôa
The Boggs
The Bohemes
Bombay Bicycle Club
Bon Iver
Bonaparte
The Books
Born Ruffians
Boss Hog
Bound Stems
The Boxer Rebellion
Boy
Boy Kill Boy
Boygenius
Billy Bragg
Brainiac
Brand New
The Bravery
The Brian Jonestown Massacre
Phoebe Bridgers
Bright Eyes
The Bright Light Social Hour
Bristeil
Brite Futures
British Sea Power
Broken Bells
Broken Social Scene
Broken Spindles
Bromheads Jacket
The Brother Kite
The Brothers Martin
Cary Brothers
Ian Brown
The Brunettes
The Buddyrevelles
Jake Bugg
Built to Spill
Butterglory
Butthole Surfers
Back to top

C
Ca–Cm
Cable
Caesars
Cage the Elephant
Cajun Dance Party
Cake
Calexico
Calla
Calpurnia
Camber
Camera Obscura
Los Campesinos!
Brendan Canning
Cansei de Ser Sexy
The Cape May
The Cape Race
Capital Cities
Cap'n Jazz
The Capricorns
Cardiacs
Carissa's Wierd
Carnivores
Carter the Unstoppable Sex Machine
Car Seat Headrest
Neko Case
Caspian
Castor
Cat Power
Catatonia (band)
Catfish and the Bottlemen
Catherine
Catherine Wheel
Cavetown
The Charlatans
Charlie Straight
Chavez
Chester French
Chet Faker
Chikita Violenta
The Chills
Chinese Football
Chisel
Circa Survive
Circa Waves
Circulatory System
Citizens Here and Abroad
City and Colour
Clairo
Clap Your Hands Say Yeah
The Clean
Clearlake
The Clientele
Clinic
Cloud Cult
Cloud Nothings
The Cloud Room
Cold War Kids
Back to top

Cn–Cz
CocoRosie
The Coctails
Cocteau Twins
Codeine
Cold War Kids
Coldplay
Colony House
Paul Collins
Colossal
Colour Revolt
The Comas
Come
Common Rotation
Company of Thieves
Conan Gray
The Connells
Consafos
Constantines
Jack Conte
Contrived
Controller.controller
Controlling the Famous
Cookie Duster
Cop Shoot Cop
Copeland
The Coral
The Coral Sea
Cornershop
Amy Correia
Matt Costa
Courteeners
Cows
Graham Coxon
The Crabs
The Cranberries
Cranes
The Cribs
Criteria
Dan Croll
Crooked Fingers
The Crookes
Crying
Crystal Antlers
Crystal Castles
Crystal Fighters
Cub
Cud
Cuff the Duke
Cults
Cursive
Curve
Cut Off Your Hands
Cuco
Cymbals Eat Guitars
Back to top

D
Lucy Dacus
The Dandy Warhols
Daniel Johnston
Daphne Loves Derby
Dappled Cities
Dark Stares
Darker My Love
Darwin Deez
Daughter
Dawn of the Replicants
Dawnstar
Days Away
Deakin
Dear and the Headlights
The Dears
Death Cab for Cutie
The Decemberists
Deer Tick
Declan McKenna
Deerhunter
The Defog
Dehd
Delays
Delta Spirit
Mac Demarco
Denali
Department of Eagles
The Departure
Desaparecidos
Destroyer
The Detachment Kit
dEUS
Kevin Devine
The Diableros
DIIV
Dikta
The Dinner Is Ruined
Dinosaur Bones
Dinosaur Jr.
Dirty Pretty Things
Dirty Projectors
Dishwalla
The Dismemberment Plan
Dispatch
La Dispute
The Dodos
Dogs
Dogs Die in Hot Cars
Dolo Tonight
Dom
Charles Douglas
Dover
Doves
Dr. Dog
The Dream Syndicate
Dressy Bessy
Drowners
The Drums
Dry the River
Heather Duby
The Dudes
Duotang
Dwarves
DYGL
The Dykeenies
Los Dynamite
Back to top

E
Eagle Seagull
Eagulls
Earlimart
The Early November
Echo and the Bunnymen
Echo Orbiter
Echobelly
Echosmith
Edison Glass
Editors
The Edsel Auctioneer
Edward Sharpe and the Magnetic Zeros
Eels
Efterklang
Eggs
Eisley
Elastica
El Azote
Elbow
The Elected
Electrasy
Electrelane
Electric President
The Electric Soft Parade
Elefant
Eleventh Dream Day
Elf Power
Elle King
Elliott Brood
Embrace
Empire of the Sun
The Enemy
Enon
Erase Errata
Eric's Trip
The Essex Green
Even
The Evens
Ever We Fall
Evermore
Ewert and The Two Dragons
Exit Clov
Explosions in the Sky
Eyeshine
EZ Basic
Back to top

F
The Fall
The Faint
Fair to Midland
Fairmont
Fake Problems
Faker
Fanfarlo
Far
Farrah
The Fashion
Fastbacks
Feeble Little Horse
Feeder
Felt
The Feelies
Fiction Plane
Fields
The Fiery Furnaces
Figurines
Film School
Liam Finn
The Fire Engines
Fitz and the Tantrums
Fleet Foxes
Florence and the Machine
Flower
Foals
The Folk Implosion
For Against
Forgive Durden
The Format
Foster the People
Fotos
The Frank and Walters
Frankie Cosmos
Franz Ferdinand
The Fratellis
The Fray
Freelance Whales
French Kicks
The Fresh & Onlys
Freshlyground
Friendly Fires
Frightened Rabbit
Friska Viljor
Fuck
Fugazi
Funeral Party
Funk Trek
FUR
Further Seems Forever
Future Islands
The Futureheads
Back to top

G
Galaxie
Galaxie 500
Galileo Galilei
The Gamits
Brian Garth
The Gaslight Anthem
Gatsbys American Dream
General Fiasco
Generationals
Geneva
Geographer
Geologist
The Get Up Kids
Jenn Ghetto
Ghostwood
Giant Drag
Girl in a Coma
Girl in Red
Girls
Girls Against Boys
Glass Animals
Glasvegas
The Go-Betweens
Go Radio
The Go! Team
Godspeed You! Black Emperor
The Golden Dogs
The Golden Seals
Gomez
Good Kid
The Good Life
Good Shoes
Goon Moon
Gossip
Gotye
Graffiti6
Grand Archives
Grandaddy
The Grates
Green Day
Gregory Gray
A Great Big Pile of Leaves
Adam Green
Anthony Green
Grenadine
Grifters
The Griswolds
Grizzly Bear
Grouplove
Guadalcanal Diary
Guided by Voices
Noah Gundersen
Guster
Jim Guthrie
Guv'ner
H
Ha Ha Tonka
HAIM
Hair Peace Salon
Emily Haines
Half Japanese
Half Man Half Biscuit
Half Moon Run
The Halo Benders
Ham Sandwich
Albert Hammond Jr.
Handsome Furs
Happy Mondays
Hard-Fi
The Hard Lessons
PJ Harvey
Harvey Danger
Juliana Hatfield
Haven
Gemma Hayes
Head and the Heart
Headlights
Headphones
Headswim
Thee Heavenly Music Association
Heavens
Heavy Stereo
Hefner
The Helio Sequence
Helium
Help She Can't Swim
Henry's Dress
Henry's Final Dream
Her Space Holiday
Her's
Los Hermanos
Hey Rosetta!
High and Driving
The High Dials
High Vis
Hippo Campus
The Hiss
Hoax
The Hold Steady
Hollerado
The Holloways
The Honorary Title
The Hoosiers
Hop Along
The Horrors
An Horse
Hot Chip
Hot Club de Paris
Hot Hot Heat
The Hounds Below
The Hours
The House of Love
The Housemartins
Howling Bells
Howlin' Maggie
Hozier
Hum
Human Highway
The Hundred in the Hands
Hurricane#1
The Hush Sound
HY
Hymns
Back to top

I
I Am Arrows
I Love You but I've Chosen Darkness
Ida
Ida Maria
Idaho
Idiot Pilot
Idlewild
Imagine Dragons
Immaculate Machine
Imogen Heap
In-Flight Safety
Les Incompétents
Infadels
Inhaler
Inspiral Carpets
Interpol
Inviolet Row
Iron & Wine
Iron On
Island of Love
Islands
Ivy
Back to top

J
Jack's Mannequin
Jaguar Love
Jack White
Jagwar Ma
Jale
Jamie T
Jannabi
Japandroids
Jawbox
Jeff Rosenstock
Jellyfish
Jeniferever
The Jesus and Mary Chain
The Jesus Lizard
The Jezabels
Jet
Jets to Brazil
Jimmy Eat World
JJ72
Jjamz
Joan of Arc
Johnny Foreigner
Johnossi
Daniel Johnston
Jon Spencer Blues Explosion
Jonezetta
The Joy Formidable
Joy Zipper
Joyce Manor
Jukebox the Ghost
Julien-K
The June Brides
June of 44
The Jungle Giants
Tyler Joseph
Jupiter One
Back to top

K
Kabul Dreams
Kaiser Chiefs
KaitO
Kakkmaddafakka
Karate
Karkwa
The Karl Hendricks Trio
Karnivool
Kasabian
Kashmir
Katie Kim
The KBC
Keane
Kent
Kettcar
Kids in Glass Houses
Kids of 88
Killing Joke
The Kills
Kind of Like Spitting
King Charles
King Cobb Steelie
Kings of Convenience
Kings of Leon
Kinoko Teikoku (きのこ帝国)
Kiss Kiss
Kitchens of Distinction
Klaxons
Klimt 1918
The Knux
Kodaline
Kongos
The Kooks
Kubb
Ben Kweller
Back to top

L
Ladyhawk
Ladyhawke
Land of Talk
Mark Lanegan
Larrikin Love
The La's
Last Dinosaurs
The Last Shadow Puppets
The Late B.P. Helium
The Law
LCD Soundsystem
Adrianne Lenker
Sondre Lerche
Letting Up Despite Great Faults
Levitation
Jenny Lewis
Liars
The Libertines
The Like
Lilys
Little Birdy
Little Comets
Little Joy
The Little Killers
Little Man Tate
The Little Ones
Local Natives
Lodger
London Grammar
The Lonely Forest
The Lonely H
The Long Blondes
The Long Winters
Longview
Longwave
Look Mexico
Look See Proof
Lord Huron
Lotus Plaza
LOUDspeakers
Louis XIV
Love as Laughter
Lovechild
Lovedrug
Lovejoy
LoveLikeFire
The Lovely Bad Things
The Lovely Feathers
The Lovely Sparrows
Low
Lowtide
Low Water
The Lumineers
Luna
Lush
The Luyas
Lydia
Lykke Li
Back to top

M
Ma–Mg
M83
The Maccabees
Macha
Math the Band
Madsen
Mae
The Mae Shi
MagellanMusic
The Magic Numbers
Magneta Lane
The Magnetic Fields
Magon (musician)
Major Maker
The Make-Up
Making April
Malajube
Male Bonding
Pyotr Mamonov
Man Man
Manchester Orchestra
Eleni Mandell
Mando Diao
Dan Mangan
Manic Street Preachers
Aimee Mann
Mansun
Maps
Maps & Atlases
Marine Research
Maritime
The Mark Inside
Laura Marling
James Marriott
The Mars Volta
Mates of State
Matmos
Matt and Kim
Matt Pond PA
Maxïmo Park
Mazhar-Fuat-Özkan
Erin McKeown
Mclusky
Andrew McMahon
Mean Red Spiders
Meg & Dia
Memphis
Javiera Mena
Meneguar
Menomena
The Mercury Program
Mercury Rev
Mesh-29
Metavari
Metric
Metronomy
The Metros
Meursault
Mew
MewithoutYou
MGMT
Back to top

Mh–Mm
Ingrid Michaelson
The Microphones
Midlake
Midnight Choir
Midnight Juggernauts
The Midway State
Milburn
Amy Millan
Milky Chance
Mineral
Miniature Tigers
The Mint
The Minus 5
Minus the Bear
The Miracle Workers
Mirah
Mission of Burma
Misterwives
Lisa Mitchell
Mitski
Back to top

Mn–Mz
The Moaners
Modest Mouse
The Moggs
Mogwai
The Moldy Peaches
Moneen
The Moog
Moonbabies
Thurston Moore
Moose
The Mooseheart Faith Stellar Groove Band
Moped
Moptop
The Morning Benders
Morning Parade
Morning Runner
Morningwood
Morphine
Morrissey
Mortimer Nova
Mor ve Ötesi
Mother Mother
Motion City Soundtrack
Motocade
Motorama
Bob Mould
Mount Eerie
The Mountain Goats
Moving Mountains
Moving Units
Mr Hudson & the Library
MS MR
múm
Mumford & Sons
Mumm-Ra
Murder by Death
Alexi Murdoch
Muse
Mutemath
My American Heart
My Bloody Valentine
My Brightest Diamond
My Dad Is Dead
My Federation
My Morning Jacket
Mya Rose
The Myriad
Myslovitz
Mystery Jets
Back to top

N
Nada Surf
Name Taken
The Naked and Famous
Natalie Portman's Shaved Head
The Nation of Ulysses
The National
The Neighbourhood
The Nein
Neon Horse
Neon Indian
Neon Neon
Neon Trees
The Nerves
The Nervous Return
Neutral Milk Hotel
Neva Dinova
The New Electric Sound
New Order
The New Pornographers
The New Year
New Young Pony Club
A. C. Newman
Joanna Newsom
The Night Marchers
Nightmare of You
Nine Black Alps
No Motiv
Noah and the Whale
Noisettes
A Northern Chorus
Nothing But Thieves
The Notwist
Nova Social
The Novembers
Novillero
Now It's Overhead
Now Now
Nude
Number Girl
Number One Cup
Nunatak
Back to top

O
Ó
Oasis
Oberhofer
Ocean Colour Scene
Of Monsters and Men
of Montreal
Office
Ogre You Asshole
OK Go
Okkervil River
The Olivia Tremor Control
One for the Team
One Night Only
OneRepublic
Tara Jane O'Neil
Operahouse
Oranger
The Others
Overcast Off
Owls
The Oxfam Glamour Models
Oxford Collapse
Back to top

P
Pa–Pm
P:ano
P.K. 14
pacificUV
The Paddingtons
Page France
The Pains of Being Pure at Heart
Pale Saints
Palm Ghosts
Panda Bear
Pandemonaeon
The Paper Hearts
Paper Lions
Papercuts
The Parlotones
Passion Pit
The Pastels
Pato Fu
Paulson
Pavement
Pearl Jam
Pedro the Lion
P.E.E.
Jack Peñate
People in Planes
The Perishers
Pernice Brothers
Peter Bjorn and John
Liz Phair
Phantogram
The Phantom Band
Phantom Planet
Grant-Lee Phillips
Phoenix
The Phoenix Foundation
Phofo
Phoneboy
Piano Magic
Piebald
The Pigeon Detectives
The Pillows
Pilot Speed
Pinback
The Pink Spiders
Pixies
Placebo
Los Planetas
Plastiscines
Plants and Animals
Joel Plaskett
Plastilina Mosh
Back to top

Pn–Pz
Pele
Pocket Symphonies
Poets of the Fall
Robert Pollard
Polvo
The Polyphonic Spree
Pomplamoose
Pony Pony Run Run
Pony Up
The Ponys
The Popguns
Portastatic
Portugal. The Man
The Posies
Robert Post
The Postal Service
Powerspace
Pram
Pretty Girls Make Graves
Primal Scream
The Primitives
Prolapse
The Promise Ring
Protein
The Protomen
Prototypes
Matt Pryor
Psapp
Pull Tiger Tail
Pulp
Punchline
Purity Ring
Pussy Galore
PVRIS
Josh Pyke
Back to top

Q
Quasi
Back to top

R
R.E.M.
Ra Ra Riot
Rachel's
The Raconteurs
Rademacher
Radio 4
The Radio Dept.
Radioactive Sago Project
Radiohead
Railroad Jerk
Rainbow Arabia
Rainer Maria
Raining Pleasure
Raised by Swans
The Rakes
Lee Ranaldo
The Rapture
The Rare Occasions
The Rascals
